year,paper,authors,ratings,decisions,institution,csranking,categories,authors_citations,authors_publications,authors_hindex,arxiv
2018,Certifying Some Distributional Robustness with Principled Adversarial Training,Aman Sinha;Hongseok Namkoong;John Duchi,9.0,Accept,Stanford University;Stanford University;Stanford University,4;4;4,4,655;904;12908,42;19;162,8;10;42,True
2018,Parametric Information Bottleneck to Optimize Stochastic Neural Networks,Thanh T. Nguyen;Jaesik Choi,4.666666666666667,Reject,Ulsan National Institute of Science and Technology;Ulsan National Institute of Science and Technology,468;468,8,1052;727,86;88,16;15,False
2018,Towards Neural Phrase-based Machine Translation,Po-Sen Huang;Chong Wang;Sitao Huang;Dengyong Zhou;Li Deng,6.666666666666667,Accept,"Microsoft;Google;University of Illinois, Urbana Champaign;Google;",-1;-1;3;-1;-1,3;2,1718;17889;161;8800;20766,59;1045;17;78;409,17;54;7;33;63,True
2018,Interactive Grounded Language Acquisition and Generalization in a 2D World,Haonan Yu;Haichao Zhang;Wei Xu,6.333333333333333,Accept,Baidu;Baidu;Baidu,-1;-1;-1,6;8,890;1382;9553,37;63;557,12;20;44,False
2018,A Boo(n) for Evaluating Architecture Performance,Ondrej Bajgar;Rudolf Kadlec;and Jan Kleindienst,4.666666666666667,Reject,;International Business Machines;International Business Machines,-1;-1;-1,0,366;678;658,10;40;76,5;11;9,False
2018,Countering Adversarial Images using Input Transformations,Chuan Guo;Mayank Rana;Moustapha Cisse;Laurens van der Maaten,6.333333333333333,Accept,Cornell University;Facebook;Facebook;Facebook,7;-1;-1;-1,4,1313;392;2917;17805,23;5;48;93,8;2;19;32,True
2018,A Neural Representation of Sketch Drawings,David Ha;Douglas Eck,7.0,Accept,Google;Google,-1;-1,5,1238;2532,66;84,11;26,True
2018,The Kanerva Machine: A Generative Distributed Memory,Yan Wu;Greg Wayne;Alex Graves;Timothy Lillicrap,6.666666666666667,Accept,Google;Google;Google;Google,-1;-1;-1;-1,5;11,2383;2530;43616;23365,207;32;87;74,22;15;50;39,False
2018,Minimax Curriculum Learning: Machine Teaching with Desirable Difficulties and Scheduled Diversity,Tianyi Zhou;Jeff Bilmes,5.666666666666667,Accept,"University of Washington;University of Washington, Seattle",6;6,0,1444;13443,80;348,14;53,False
2018,Multi-View Data Generation Without View Supervision,Mickael Chen;Ludovic Denoyer;Thierry Artières,6.333333333333333,Accept,LIP6;LIP6;Aix Marseille University,-1;-1;468,5;4,43;2995;1302,4;128;144,3;22;16,True
2018,Towards Binary-Valued Gates for Robust LSTM Training ,Zhuohan Li;Di He;Fei Tian;Wei Chen;Tao Qin;Liwei Wang;Tie-Yan Liu,5.333333333333333,Reject,Peking University;Peking University;Microsoft;Microsoft;Microsoft;Peking University;Microsoft,24;24;-1;-1;-1;24;-1,3;8,100;2677;5327;49851;4995;2389;13516,13;258;370;3662;289;75;366,7;27;32;90;34;23;51,False
2018,On the importance of single directions for generalization,Ari S. Morcos;David G.T. Barrett;Neil C. Rabinowitz;Matthew Botvinick,7.0,Accept,Google;Google;Google;Google,-1;-1;-1;-1,8,992;1159;2960;13268,31;24;37;147,12;11;16;44,False
2018,Variational Continual Learning,Cuong V. Nguyen;Yingzhen Li;Thang D. Bui;Richard E. Turner,6.0,Accept,University of Cambridge;University of Cambridge;University of Cambridge;University of Cambridge,71;71;71;71,5,415;1040;674;2918,27;56;30;174,10;14;12;30,True
2018,Go for a Walk and Arrive at the Answer: Reasoning Over Paths in Knowledge Bases using Reinforcement Learning,Rajarshi Das;Shehzaad Dhuliawala;Manzil Zaheer;Luke Vilnis;Ishan Durugkar;Akshay Krishnamurthy;Alex Smola;Andrew McCallum,6.0,Accept,"University of Massachusetts, Amherst;University of Massachusetts, Amherst;Carnegie Mellon University;University of Massachusetts, Amherst;University of Texas, Austin;University of Massachusetts, Amherst;Carnegie-Mellon University;University of Massachusetts, Amherst",30;30;1;30;21;30;1;30,10,4903;183;1602;1764;335;1537;68208;45557,164;14;63;25;15;75;404;434,33;3;17;10;5;21;99;96,False
2018,Learning to Represent Programs with Graphs,Miltiadis Allamanis;Marc Brockschmidt;Mahmoud Khademi,8.0,Accept,Microsoft;Microsoft;Simon Fraser University,-1;-1;57,3;10,1904;2459;273,42;61;26,18;22;8,True
2018,Variational image compression with a scale hyperprior,Johannes Ballé;David Minnen;Saurabh Singh;Sung Jin Hwang;Nick Johnston,7.0,Accept,Google;Google;Google;Google;Google,-1;-1;-1;-1;-1,5,1149;1746;686;1751;869,40;35;59;61;27,14;18;6;18;9,False
2018,Simulating Action Dynamics with Neural Process Networks,Antoine Bosselut;Omer Levy;Ari Holtzman;Corin Ennis;Dieter Fox;Yejin Choi,7.666666666666667,Accept,"University of Washington;University of Washington;University of Washington;University of Washington, Seattle;University of Washington;University of Washington",6;6;6;6;6;6,0,397;7449;600;139;39994;7812,20;58;18;3;374;139,8;30;10;2;97;43,False
2018,Evidence Aggregation for Answer Re-Ranking in Open-Domain Question Answering,Shuohang Wang;Mo Yu;Jing Jiang;Wei Zhang;Xiaoxiao Guo;Shiyu Chang;Zhiguo Wang;Tim Klinger;Gerald Tesauro;Murray Campbell,6.666666666666667,Accept,Singapore Management University;International Business Machines;Singapore Management University;International Business Machines;International Business Machines;International Business Machines;International Business Machines;International Business Machines;International Business Machines;International Business Machines,90;-1;90;-1;-1;-1;-1;-1;-1;-1,0,1107;3563;7163;300;1512;2981;2000;643;7620;1589,20;71;202;11;42;111;75;34;124;57,8;26;32;8;13;28;25;12;45;19,False
2018,QANet: Combining Local Convolution with Global Self-Attention for Reading Comprehension,Adams Wei Yu;David Dohan;Minh-Thang Luong;Rui Zhao;Kai Chen;Mohammad Norouzi;Quoc V. Le,6.333333333333333,Accept,Carnegie Mellon University;Google;Google;Google;Google;Google;Google,1;-1;-1;-1;-1;-1;-1,3,815;1093;3101;8364;33496;8079;48714,28;11;33;608;46;126;193,13;4;20;39;12;31;81,False
2018,Measuring the Intrinsic Dimension of Objective Landscapes,Chunyuan Li;Heerad Farkhoor;Rosanne Liu;Jason Yosinski,6.666666666666667,Accept,Duke University;Uber;Uber;University of Montreal,46;-1;-1;124,1,1998;78;383;8163,80;4;12;52,25;1;7;21,False
2018,Residual Loss Prediction: Reinforcement Learning With No Incremental Feedback,Hal Daumé III;John Langford;Amr Sharaf,6.666666666666667,Accept,"University of Maryland, College Park;;University of Maryland, College Park",12;-1;12,0,10485;11741;69,198;198;20,46;49;4,False
2018,Reinforcement Learning Algorithm Selection,Romain Laroche;Raphael Feraud,6.333333333333333,Accept,Microsoft;General Electric,-1;-1,0,591;777,80;46,15;14,True
2018,Zero-Shot Visual Imitation,Deepak Pathak;Parsa Mahmoudieh;Guanghao Luo;Pulkit Agrawal;Dian Chen;Yide Shentu;Evan Shelhamer;Jitendra Malik;Alexei A. Efros;Trevor Darrell,7.666666666666667,Accept,University of California Berkeley;University of California Berkeley;University of California Berkeley;University of California Berkeley;University of California Berkeley;University of California Berkeley;University of California Berkeley;University of California Berkeley;University of California Berkeley;University of California Berkeley,5;5;5;5;5;5;5;5;5;5,6,4211;191;111;3015;369;124;27413;70210;37176;90665,40;8;1;52;34;2;26;429;193;559,14;4;1;16;8;2;14;115;77;112,False
2018,"Emergent Communication in a Multi-Modal, Multi-Step Referential Game",Katrina Evtimova;Andrew Drozdov;Douwe Kiela;Kyunghyun Cho,7.0,Accept,New York University;New York University;Facebook;New York University,26;26;-1;26,3;8,61;162;3383;45173,4;10;79;272,3;3;29;52,True
2018,Distributed Fine-tuning of Language Models on Private Data,Vadim Popov;Mikhail Kudinov;Irina Piontkovskaya;Petr Vytovtov;Alex Nevidomsky,4.333333333333333,Accept,Samsung;Samsung;Samsung;Samsung;Samsung,-1;-1;-1;-1;-1,3,15;5;6;14;11,12;6;3;5;3,2;1;2;2;2,False
2018,On the Convergence of Adam and Beyond,Sashank J. Reddi;Satyen Kale;Sanjiv Kumar,8.333333333333334,Accept,Google;Google;Google,-1;-1;-1,9,2242;5260;9915,53;87;298,21;31;44,False
2018,Spatially Transformed Adversarial Examples,Chaowei Xiao;Jun-Yan Zhu;Bo Li;Warren He;Mingyan Liu;Dawn Song,7.666666666666667,Accept,University of Michigan;NAVER;University of California Berkeley;University of California Berkeley;University of Michigan;University of California Berkeley,8;-1;5;5;8;5,4,1318;15358;2365;1204;12506;43319,30;50;80;22;264;396,12;27;23;14;38;100,False
2018,Parametrized Hierarchical Procedures for Neural Programming,Roy Fox;Richard Shin;Sanjay Krishnan;Ken Goldberg;Dawn Song;Ion Stoica,6.0,Accept,University of California Berkeley;University of California Berkeley;University of California Berkeley;University of California Berkeley;University of California Berkeley;University of California Berkeley,5;5;5;5;5;5,0,541;275;1486;9978;43319;56622,43;29;88;300;396;492,10;9;22;50;100;113,False
2018,Characterizing Adversarial Subspaces Using Local Intrinsic Dimensionality,Xingjun Ma;Bo Li;Yisen Wang;Sarah M. Erfani;Sudanthi Wijewickrema;Grant Schoenebeck;Dawn Song;Michael E. Houle;James Bailey,7.0,Accept,The University of Melbourne;University of California Berkeley;Tsinghua University;The University of Melbourne;The University of Melbourne;University of Michigan;University of California Berkeley;Meiji University;The University of Melbourne,124;5;10;124;124;8;5;468;124,4;1,569;2458;360;920;513;1536;43319;2190;5622,32;80;23;58;55;59;396;122;330,9;23;8;11;9;17;100;24;35,False
2018,Generating Adversarial Examples with Adversarial Networks,Chaowei Xiao;Bo Li;Jun-Yan Zhu;Warren He;Mingyan Liu;Dawn Song,5.666666666666667,Reject,University of Michigan;University of California Berkeley;University of California Berkeley;University of California Berkeley;University of Michigan;University of California Berkeley,8;5;5;5;8;5,5;4,1318;2365;15358;1204;12506;43319,30;80;50;22;264;396,12;23;27;14;38;100,False
2018,Decision Boundary Analysis of Adversarial Examples,Warren He;Bo Li;Dawn Song,6.0,Accept,University of California Berkeley;University of California Berkeley;University of California Berkeley,5;5;5,4,1204;2365;43319,22;80;396,14;23;100,False
2018,Learning Sparse Latent Representations with the Deep Copula Information Bottleneck,Aleksander Wieczorek*;Mario Wieser*;Damian Murezzan;Volker Roth,5.75,Accept,University of Basel;University of Basel;University of Basel;University of Basel,364;364;364;364,0,49;122;20;1409,17;14;3;70,4;5;2;21,False
2018,Demystifying MMD GANs,Mikołaj Bińkowski;Dougal J. Sutherland;Michael Arbel;Arthur Gretton,5.666666666666667,Accept,Imperial College London;University College London;University College London;,74;46;46;-1,5;4,275;718;258;12781,7;36;11;215,4;14;5;48,False
2018,Fix your classifier: the marginal value of training the last weight layer,Elad Hoffer;Itay Hubara;Daniel Soudry,6.0,Accept,Technion;;Technion,24;-1;24,0,1424;2967;4801,27;21;76,11;11;26,False
2018,Flipout: Efficient Pseudo-Independent Weight Perturbations on Mini-Batches,Yeming Wen;Paul Vicol;Jimmy Ba;Dustin Tran;Roger Grosse,6.666666666666667,Accept,"Department of Computer Science, University of Toronto;Department of Computer Science, University of Toronto;University of Toronto;Google;Department of Computer Science, University of Toronto",17;17;17;-1;17,11,130;141;52924;1692;5598,10;19;56;50;48,3;6;22;20;27,False
2018,Towards Synthesizing Complex Programs From Input-Output Examples,Xinyun Chen;Chang Liu;Dawn Song,6.666666666666667,Accept,University of California Berkeley;University of California Berkeley;University of California Berkeley,5;5;5,0,1634;6509;43319,51;697;396,14;38;100,True
2018,A DIRT-T Approach to Unsupervised Domain Adaptation,Rui Shu;Hung Bui;Hirokazu Narui;Stefano Ermon,7.333333333333333,Accept,Stanford University;Google;Stanford University;Stanford University,4;-1;4;4,5;4,529;218;277;4767,47;10;11;201,12;4;3;30,False
